parent,nom,lien,type,descriptionFr,sourceDescriptionFr,lienDescriptionFr,descriptionEn,sourceDescriptionEn,lienDescriptionEn,prix,licence,plateformes,SimilaireA,BaséEn
,Outils et pratiques Privacy par LINC,,,,,,,,,,,,,
Outils et pratiques Privacy par LINC,S'équiper,,titre,,,,,,,,,,,
S'équiper,Choisir son smartphone,,titre,"Caractéristiques ou fonctionnalités mises en avant : supporter le démarrage vérifié, changer l’OS",,,,,,,,,,
Choisir son smartphone,Vérifier la date de fin des mises à jour de sécurité,,pratique,"Les appareils reçoivent des mises à jour de sécurité fréquentes pour une durée limitée, au-delà il n’est plus recommandé de les utiliser car  ils deviennent potentiellement vulnérables aux failles plus récentes. Il est possible de connaître cette date avant ou après un achat pour prévoir la « durée de vie » de l’appareil.",,,,,,,,,,
Choisir son smartphone,endoflife.date,https://endoflife.date/,outil,"« endoflife.date est un projet géré par la communauté pour documenter les dates de fin de vie, et garanties de divers produits. »","(endoflife.date, traduit)",https://endoflife.date/,,,,Gratuit,Libre,Navigateur,,
Choisir son smartphone,Pixel dégooglisé,https://store.google.com/category/phones?hl=fr,outil,« Google Pixel est une gamme d'appareils électroniques grand public fabriquée et commercialisée par Google depuis septembre 2015. » Les Pixel phones sont réputés plus sécurisés que leurs concurrents et supportent le démarrage vérifié. Il est nécessaire d’utiliser une version dérivée d’Android pour sortir du pistage intrusif de Google.,(Wikipedia),https://fr.wikipedia.org/wiki/Google_Pixel,,,,Payant,Propriétaire,,,
S'équiper,Choisir son ordinateur,,titre,,,,,,,,,,,
Choisir son ordinateur,Regarder la date d’arrêt des mises à jour de sécurité de l’OS et du fournisseur,,pratique,,,,,,,,,,,
Choisir son ordinateur,endoflife.date,https://endoflife.date/,outil,"« endoflife.date est un projet géré par la communauté pour documenter les dates de fin de vie, et garanties de divers produits. »","(endoflife.date, traduit)",https://endoflife.date/,,,,Gratuit,Libre,Navigateur,,
S'équiper,Choisir son OS,,titre,"Caractéristiques ou fonctionnalités mises en avant : protection accru de l’intégrité du système, compartimenter / cloisonner les usages, gérer les permissions des applications, services Google Play confinés",,,,,,,,,,
Choisir son OS,CalyxOS,https://calyxos.org/,outil,« CalyxOS est un système d'exploitation pour smartphones basé sur Android avec des logiciels majoritairement gratuits et open-source. Il est produit par l'Institut Calyx dans le cadre de sa mission visant à rendre la protection de la vie privée plus accessible et plus facile à utiliser. »,"(Wikipedia, traduit)",https://en.wikipedia.org/wiki/CalyxOS,« CalyxOS is an operating system for smartphones based on Android with mostly free and open-source software. It is produced by the Calyx Institute as part of its mission to make privacy more accessible and easier to use. »,,,Gratuit,Propriétaire,Android,OS natif,
Choisir son OS,GrapheneOS,https://grapheneos.org/,outil,"« GrapheneOS est un système d'exploitation mobile basé sur Android, renforcé sur le plan de la sécurité, axé sur la vie privée, essentiellement libre et open-source, pour une sélection de smartphones. Il est axé sur la confidentialité et la sécurité, et est compatible avec plusieurs smartphones Google Pixel. »",(Wikipedia),https://en.wikipedia.org/wiki/GrapheneOS,"« GrapheneOS is an Android-based, security-hardened, privacy focused, mostly free and open-source, mobile operating system for selected smartphones. It is focused on privacy and security, and is compatible with several Google Pixel smartphones. »",,,Gratuit,Libre,Android,OS natif,
Choisir son OS,Tails,https://tails.boum.org/,outil,« Tails ou The Amnesic Incognito Live System est une distribution GNU/Linux axée sur la sécurité fondée sur Debian qui a pour but de préserver vie privée et anonymat. Le système est conçu pour ne pas laisser de trace numérique sur la machine à moins qu'il soit explicitement autorisé à le faire. »,(Wikipedia),https://fr.wikipedia.org/wiki/Tails_(syst%C3%A8me_d%27exploitation),,(Wikipedia),https://en.wikipedia.org/wiki/Tails_(operating_system),Gratuit,Libre,"Windows, macOS","Windows, macOS",
Choisir son OS,ReactOS,https://reactos.org/,outil,« ReactOS est un projet de système d'exploitation libre en développement se voulant compatible avec les programmes et pilotes Microsoft Windows. »,(Wikipedia),https://fr.wikipedia.org/wiki/ReactOS,« ReactOS is a free and open-source operating system for amd64/i686 personal computers intended to be binary-compatible with computer programs and device drivers made for Windows Server 2003 and later versions of Windows. « ,(Wikipedia),https://en.wikipedia.org/wiki/ReactOS,Gratuit,Libre,Windows,Windows,
S'équiper,Recharger son smartphone,,titre,Caractéristiques ou fonctionnalités mises en avant :  différencier la charge et le transfert de données.,,,,,,,,,,
Recharger son smartphone,Cable USB sans data,,outil,"Un câble USB classique comporte deux paires de fils : une servant à faire passer le courant, l’autre les données. Un câble sans data permet uniquement de recharger, même sur des ports peu sûrs.",,,,,,,,,,
S'équiper,Installer des applications,,titre,,,,,,,,,,,
Installer des applications,Désinstaller ses applis non utilisées et supprimer ses comptes,,pratique,,,,,,,,,,,
